suburb,state,postcode,property_type,bedrooms,bathrooms,car_spaces,rent_weekly,street_number,street_name,latitude,longitude,features,amenities,utilities,building_age,description,available_from,is_negotiable
Sydney,NSW,2000,2BED,2,2,1,850,123,George Street,-33.8688,151.2093,FURNISHED;PARKING;BALCONY;AIR CON,TRAIN STATION;SHOPPING;CAFES,NBN READY;GAS,MODERN (<5Y),Modern 2-bedroom apartment in the heart of Sydney CBD. Fully furnished with stunning harbor views.,2025-01-15,false
Melbourne,VIC,3000,1BED,1,1,0,720,45,Collins Street,-37.8136,144.9631,FURNISHED;GYM;POOL,TRAIN STATION;SHOPPING;PARKS,NBN READY,NEW (<2Y),Brand new 1-bedroom apartment with gym and pool access. Walking distance to everything.,2025-02-01,false
Brisbane,QLD,4000,STUDIO,0,1,0,550,78,Queen Street,-27.4698,153.0251,FURNISHED;AIR CON,TRAIN STATION;CAFES,NBN READY,RENOVATED,Renovated studio in Brisbane CBD. Perfect for young professionals.,2025-01-20,true
Sydney,NSW,2010,2BED,2,1,1,920,34,Crown Street,-33.8826,151.2063,PET FRIENDLY;PARKING;BALCONY;DISHWASHER,PARKS;CAFES;SHOPPING,GAS;NBN READY,MODERN (<5Y),Pet-friendly 2-bedroom in Surry Hills. Close to parks and cafes.,2025-02-15,false
Melbourne,VIC,3006,3BED,3,2,2,1200,12,Beach Road,-37.8456,144.9825,PARKING;BALCONY;DISHWASHER;AIR CON,PARKS;SCHOOLS;SHOPPING,SOLAR;NBN READY;WATER INCLUDED,NEW (<2Y),Spacious 3-bedroom family home near the beach. Solar panels included.,2025-03-01,false
Brisbane,QLD,4101,1BED,1,1,1,680,56,Stanley Street,-27.4833,153.0167,FURNISHED;PARKING;GYM,TRAIN STATION;HOSPITAL,NBN READY,MODERN (<5Y),Modern 1-bedroom with parking and gym. Close to hospital and transport.,2025-01-25,false
Sydney,NSW,2060,STUDIO,0,1,0,620,89,Pacific Highway,-33.8245,151.1654,FURNISHED;AIR CON,TRAIN STATION;SHOPPING,NBN READY,RENOVATED,Cozy renovated studio near North Sydney station.,2025-02-10,true
Melbourne,VIC,3141,2BED,2,2,1,980,23,Chapel Street,-37.8533,145.0028,PET FRIENDLY;PARKING;BALCONY;GYM;POOL,CAFES;SHOPPING;PARKS,GAS;NBN READY,NEW (<2Y),Luxury 2-bedroom with gym and pool. Pet-friendly building.,2025-02-20,false
Brisbane,QLD,4006,1BED,1,1,0,700,45,Fortitude Valley,-27.4567,153.0351,FURNISHED;BALCONY;AIR CON,TRAIN STATION;CAFES;SHOPPING,NBN READY,MODERN (<5Y),Trendy 1-bedroom in Fortitude Valley. Heart of Brisbane nightlife.,2025-01-30,false
Sydney,NSW,2026,3BED,3,2,2,1450,67,Campbell Parade,-33.8915,151.2767,PARKING;BALCONY;DISHWASHER;AIR CON,PARKS;CAFES;SHOPPING,GAS;NBN READY;WATER INCLUDED,CLASSIC,Classic 3-bedroom apartment with ocean views. Bondi Beach lifestyle.,2025-03-15,true
Melbourne,VIC,3004,STUDIO,0,1,0,580,34,St Kilda Road,-37.8406,144.9734,FURNISHED;GYM,TRAIN STATION;PARKS,NBN READY,RENOVATED,Affordable studio with gym access. Great for students.,2025-01-18,false
Brisbane,QLD,4000,2BED,2,2,1,880,12,Adelaide Street,-27.4679,153.0281,FURNISHED;PARKING;BALCONY;POOL,TRAIN STATION;SHOPPING,NBN READY;GAS,NEW (<2Y),New 2-bedroom with pool and parking. CBD location.,2025-02-05,false
Sydney,NSW,2007,1BED,1,1,1,780,45,Harris Street,-33.8792,151.1989,PET FRIENDLY;PARKING;GYM;AIR CON,TRAIN STATION;CAFES,NBN READY,MODERN (<5Y),Pet-friendly 1-bedroom in Pyrmont. Gym and parking included.,2025-02-12,false
Melbourne,VIC,3000,2BED,2,1,0,950,78,Flinders Street,-37.8183,144.9671,FURNISHED;BALCONY;DISHWASHER,TRAIN STATION;SHOPPING;CAFES,NBN READY,RENOVATED,Renovated 2-bedroom in CBD. Walking distance to everything.,2025-01-28,true
Brisbane,QLD,4059,3BED,3,2,2,1100,23,Kelvin Grove Road,-27.4456,153.0087,PARKING;BALCONY;DISHWASHER;AIR CON,SCHOOLS;PARKS;SHOPPING,SOLAR;NBN READY,MODERN (<5Y),Family-friendly 3-bedroom near schools. Solar power.,2025-03-10,false
Sydney,NSW,2042,STUDIO,0,1,0,650,56,King Street,-33.8958,151.1789,FURNISHED;AIR CON,TRAIN STATION;CAFES;SHOPPING,NBN READY,RENOVATED,Renovated studio in Newtown. Vibrant neighborhood.,2025-01-22,false
Melbourne,VIC,3121,1BED,1,1,1,820,89,Bridge Road,-37.8253,145.0028,FURNISHED;PARKING;BALCONY;GYM,TRAIN STATION;SHOPPING,NBN READY;GAS,NEW (<2Y),New 1-bedroom in Richmond. Gym and parking.,2025-02-18,false
Brisbane,QLD,4169,2BED,2,2,1,750,12,Logan Road,-27.5167,153.0500,PET FRIENDLY;PARKING;AIR CON,TRAIN STATION;SHOPPING,NBN READY,MODERN (<5Y),Pet-friendly 2-bedroom with parking. Good transport links.,2025-02-08,true
Sydney,NSW,2011,2BED,2,2,2,1050,34,Oxford Street,-33.8847,151.2147,PARKING;BALCONY;DISHWASHER;GYM;POOL,CAFES;SHOPPING;PARKS,GAS;NBN READY,NEW (<2Y),Luxury 2-bedroom in Paddington. Gym and pool.,2025-03-05,false
Melbourne,VIC,3205,STUDIO,0,1,0,600,45,Beaconsfield Parade,-37.8456,144.9567,FURNISHED;BALCONY,PARKS;CAFES,NBN READY,CLASSIC,Classic studio near the beach. Great views.,2025-01-26,false
